,Word,Frequency,tf_idf
92,side,5897,0.004699337448124112
95,large,5855,0.004696493800467648
86,give,6064,0.004668079231324143
91,day,5922,0.004667005168995343
93,new,5868,0.004659997514539512
105,dish,5409,0.004644226227133915
88,going,6001,0.004637640685630811
114,sandwich,5192,0.004634062355704925
109,told,5296,0.004620046286935913
104,lunch,5426,0.004576057472075802
120,pie,5083,0.0045367756074823065
98,tried,5750,0.004523540528603462
110,pepperoni,5270,0.004509424215022334
99,around,5695,0.004488111184976102
108,customer,5317,0.004482985372436969
102,bad,5505,0.004449624006232016
101,sure,5611,0.0044232593372845
106,bit,5363,0.004416226864239284
123,location,5014,0.0043879727004707296
107,year,5357,0.004374893764256285
111,special,5247,0.004341333152769119
100,recommend,5627,0.004338046184281463
115,family,5185,0.004317508138318519
113,review,5193,0.004308388003010924
103,ca,5431,0.00430467285673704
134,fry,4590,0.004289191350234304
112,many,5204,0.004257846851164504
141,meatball,4327,0.004240062966451409
119,another,5093,0.004234197997214999
121,took,5078,0.004228057650514037
116,last,5171,0.004224697316818426
118,since,5113,0.004201091452566965
127,hot,4916,0.004200639279675219
117,everything,5132,0.004186081049435324
122,excellent,5067,0.004183440871353152
130,asked,4705,0.0041812375064290835
124,next,4992,0.00412253511768295
126,though,4920,0.00410197621114767
125,every,4923,0.004089125934074693
128,something,4872,0.004077648917642696
131,quality,4682,0.003999294828428502
129,atmosphere,4870,0.003973011929276127
140,called,4329,0.003967548137704349
137,option,4491,0.00395120673532967
132,home,4649,0.003950483969742522
142,half,4324,0.00393948337798487
144,waitress,4225,0.003919381721627919
148,wine,4059,0.0039000857925464527
135,long,4562,0.0038886625945791812
136,awesome,4539,0.0038697296117035924
138,enough,4464,0.003845716660138901
139,perfect,4422,0.003841962283669477
133,worth,4595,0.003840646672985901
143,tasty,4282,0.0037143182444451164
145,thin,4150,0.0036970482154189688
146,see,4142,0.003669223925103513
147,nothing,4140,0.0036602907921334913
150,different,4028,0.0036053922256773494
149,big,4028,0.003599917488678451
151,find,4006,0.00356406489607891
178,burger,3347,0.003553239467594739
154,visit,3862,0.003552662335206953
153,selection,3887,0.003515133549280705
157,pittsburgh,3785,0.0035047742726871086
152,top,3892,0.0035037103410338385
155,super,3835,0.0034943123543471686
160,sausage,3619,0.0034822908302726066
159,happy,3653,0.003422834872903812
156,need,3790,0.0034207807784834847
164,garlic,3521,0.0034186745053661235
158,however,3679,0.0033772085640414763
171,meat,3461,0.0033517667763313832
161,busy,3588,0.003321683625507973
172,tomato,3421,0.003321207394389012
170,appetizer,3463,0.0033007029977654184
163,feel,3534,0.003290822294078505
167,wanted,3476,0.003289733959411826
165,work,3506,0.0032809963028136747
162,probably,3540,0.0032785801411878207
182,call,3290,0.0032623357563230987
190,manager,3159,0.003257910560790127
179,guy,3337,0.0032476979914026643
168,huge,3468,0.0032343599320759976
166,looking,3485,0.003231260959407076
169,away,3464,0.0032279649620798067
173,look,3409,0.0032109880873954603
175,cooked,3365,0.003191482345793563
183,owner,3265,0.00318845319313857
174,ordering,3370,0.0031853493794469227
195,kid,3089,0.0031734765065538208
186,style,3214,0.003169493958067752
176,spot,3362,0.003168721893344189
185,cold,3225,0.0031580319491782377
180,ingredient,3331,0.0031565375874342467
196,husband,3089,0.003135724685257383
177,overall,3353,0.0031352092125489285
184,house,3231,0.0031269297572209137
194,mushroom,3102,0.0031264999054355265
197,pepper,3086,0.003114945431952734
181,disappointed,3314,0.0030936103511945558
187,put,3210,0.0030782433478403993
188,local,3182,0.0030607867608632073
189,kind,3180,0.0030598742305241473
191,tasted,3143,0.0030485777989791296
193,maybe,3128,0.003037095669635113
192,enjoyed,3132,0.003030780314116958
198,sweet,3058,0.003005884449518519
203,check,3018,0.0029870020051579516
202,open,3019,0.0029796213537028353
201,actually,3037,0.002968164577328909
204,thought,3017,0.0029604607345146013
199,eating,3054,0.0029592664449300645
206,business,2979,0.002956040169920173
207,decided,2977,0.0029457324222577365
200,anything,3045,0.0029393869643058223
215,extra,2875,0.0029290653091074066
209,usually,2964,0.002924316739138246
210,portion,2951,0.0029125083189059514
229,free,2757,0.002910448047462876
205,else,2982,0.0028985986634178407
208,fantastic,2972,0.0028950838167441347
219,oven,2857,0.002893754195381318
211,everyone,2938,0.0028899326485973343
218,dining,2864,0.002886972956678586
212,loved,2935,0.0028859806371980745
224,dough,2793,0.0028823097433704923
214,left,2905,0.0028822706059246066
233,party,2712,0.002862553031616177
213,town,2922,0.0028616515390861024
220,quite,2847,0.002857991239602446
225,room,2789,0.0028529160260762775
221,old,2826,0.0028476242146618733
223,wrong,2819,0.002846488335701139
216,let,2869,0.0028415323428666343
217,decent,2869,0.0028375369892352244
238,phone,2685,0.002833281636514124
240,wife,2643,0.0028322885265790803
222,found,2826,0.0028002598425749233
226,used,2782,0.0027978274593810615
228,couple,2767,0.002795010467893611
227,full,2771,0.002774320587676275
232,tell,2715,0.002756409956109757
248,dessert,2613,0.002755054175478633
231,crispy,2718,0.0027468643071490322
234,inside,2711,0.0027387799702267234
237,ask,2690,0.0027229238918418715
230,quick,2719,0.002715081997430273
249,waiting,2608,0.0027150258560942136
243,served,2633,0.002714741223562027
236,almost,2690,0.0027062913779064383
244,looked,2633,0.0026988093367997
245,outside,2629,0.0026916334981557663
235,fast,2697,0.002690861646705673
